"Description" "data" "N_anul_lotow"
"Northwest Airlines Inc." 1987-11-07 6
"Northwest Airlines Inc." 1987-11-28 2
"Northwest Airlines Inc." 1987-11-03 3
"Northwest Airlines Inc." 1987-11-30 6
"Northwest Airlines Inc." 1987-11-09 3
"Northwest Airlines Inc." 1987-11-15 10
"Northwest Airlines Inc." 1987-11-04 3
"Northwest Airlines Inc." 1987-11-29 18
"Northwest Airlines Inc." 1987-11-25 1
"Northwest Airlines Inc." 1987-11-18 6
"Northwest Airlines Inc." 1987-11-20 5
"Northwest Airlines Inc." 1987-11-05 1
"Northwest Airlines Inc." 1987-11-13 1
"Northwest Airlines Inc." 1987-11-10 3
"Northwest Airlines Inc." 1987-12-24 56
"Northwest Airlines Inc." 1987-12-18 16
"Northwest Airlines Inc." 1987-12-25 20
"Northwest Airlines Inc." 1987-12-15 172
"Northwest Airlines Inc." 1987-12-07 13
"Northwest Airlines Inc." 1987-12-23 11
"Northwest Airlines Inc." 1987-12-12 31
"Northwest Airlines Inc." 1987-12-30 26
"Northwest Airlines Inc." 1987-12-16 31
"Northwest Airlines Inc." 1987-12-09 36
"Northwest Airlines Inc." 1987-12-05 7
"Northwest Airlines Inc." 1987-12-08 43
"Northwest Airlines Inc." 1987-12-28 160
"Northwest Airlines Inc." 1987-12-01 4
"Northwest Airlines Inc." 1987-12-04 9
"Northwest Airlines Inc." 1987-12-22 3
"Northwest Airlines Inc." 1987-12-10 17
"Northwest Airlines Inc." 1987-12-26 16
"Northwest Airlines Inc." 1987-12-27 26
"Northwest Airlines Inc." 1987-12-11 18
"Northwest Airlines Inc." 1987-12-13 33
"Northwest Airlines Inc." 1987-12-14 40
"Northwest Airlines Inc." 1987-12-17 18
"Northwest Airlines Inc." 1987-12-03 17
"Northwest Airlines Inc." 1987-12-31 30
"Northwest Airlines Inc." 1987-12-19 20
"Northwest Airlines Inc." 1987-12-21 13
"Northwest Airlines Inc." 1987-12-06 10
"Northwest Airlines Inc." 1987-12-29 40
"Northwest Airlines Inc." 1987-12-20 10
"Northwest Airlines Inc." 1987-12-02 10
"Pan American World Airways (1)" 1987-10-12 16
"Pan American World Airways (1)" 1987-10-20 1
"Pan American World Airways (1)" 1987-10-04 2
"Pan American World Airways (1)" 1987-10-13 5
"Pan American World Airways (1)" 1987-10-21 1
"Pan American World Airways (1)" 1987-10-31 6
"Pan American World Airways (1)" 1987-10-27 1
"Pan American World Airways (1)" 1987-10-03 2
"Pan American World Airways (1)" 1987-10-07 3
"Pan American World Airways (1)" 1987-10-16 1
"Pan American World Airways (1)" 1987-10-24 1
"Pan American World Airways (1)" 1987-10-01 1
"Pan American World Airways (1)" 1987-10-09 1
"Pan American World Airways (1)" 1987-10-15 1
"Pan American World Airways (1)" 1987-10-02 1
"Pan American World Airways (1)" 1987-10-06 2
"Pan American World Airways (1)" 1987-10-08 1
"Pan American World Airways (1)" 1987-10-14 1
"Pan American World Airways (1)" 1987-11-17 3
"Pan American World Airways (1)" 1987-11-12 18
"Pan American World Airways (1)" 1987-11-29 5
"Pan American World Airways (1)" 1987-11-11 38
