"Description" "polaczenie" "Distance" "ilosc_lotow"
"American Airlines Inc." "Birmingham(AL) - Dallas-Fort Worth(TX)" 597 25073
"American Airlines Inc." "Huntsville(AL) - Birmingham(AL)" 74 4780
"American Airlines Inc." "Dallas-Fort Worth(TX) - Chantilly(VA)" 1172 44590
"American Airlines Inc." "Chantilly(VA) - Windsor Locks(CT)" 326 272
"American Airlines Inc." "Dallas-Fort Worth(TX) - Houston(TX)" 247 24693
"American Airlines Inc." "St Louis(MO) - Chicago(IL)" 258 47377
"American Airlines Inc." "Ontario(CA) - Chicago(IL)" 1700 10325
"American Airlines Inc." "Chicago(IL) - Syracuse(NY)" 607 20076
"American Airlines Inc." "Santa Barbara(CA) - Ontario(CA)" 130 775
"American Airlines Inc." "Chicago(IL) - Wichita(KS)" 588 921
"American Airlines Inc." "Dallas-Fort Worth(TX) - Arlington(VA)" 1192 67505
"American Airlines Inc." "Salt Lake City(UT) - Dallas-Fort Worth(TX)" 988 30686
"American Airlines Inc." "Windsor Locks(CT) - Dallas-Fort Worth(TX)" 1471 24272
"American Airlines Inc." "Dallas-Fort Worth(TX) - Amarillo(TX)" 313 16670
"American Airlines Inc." "Dallas-Fort Worth(TX) - Little Rock(AR)" 304 20432
"American Airlines Inc." "Dallas-Fort Worth(TX) - Wichita(KS)" 328 26151
"American Airlines Inc." "Huntsville(AL) - Dallas-Fort Worth(TX)" 603 20303
"American Airlines Inc." "Chicago(IL) - Akron(OH)" 344 4871
"American Airlines Inc." "Louisville(KY) - Dallas-Fort Worth(TX)" 733 16775
"American Airlines Inc." "Oklahoma City(OK) - Chicago(IL)" 693 17714
"American Airlines Inc." "Chicago(IL) - Reno(NV)" 1671 8973
"American Airlines Inc." "Dayton(OH) - Syracuse(NY)" 476 1
"American Airlines Inc." "Chicago(IL) - Albuquerque(NM)" 1118 17289
"American Airlines Inc." "Dallas-Fort Worth(TX) - Orlando(FL)" 984 53455
"American Airlines Inc." "Milwaukee(WI) - Chicago(IL)" 67 12670
"American Airlines Inc." "Chicago(IL) - Long Beach(CA)" 1735 2009
